Model,True,Predicted,Errors,Total,Error Rate (%),CI Low (%),CI High (%)
SVM,Abusive,Hate Speech,59,293,20.14,15.94,25.1
SVM,Abusive,Normal,33,293,11.26,8.13,15.4
SVM,Hate Speech,Abusive,95,1016,9.35,7.71,11.3
SVM,Hate Speech,Normal,162,1016,15.94,13.82,18.32
SVM,Normal,Abusive,43,1096,3.92,2.93,5.24
SVM,Normal,Hate Speech,155,1096,14.14,12.2,16.33
CNB,Abusive,Hate Speech,27,293,9.22,6.41,13.08
CNB,Abusive,Normal,20,293,6.83,4.46,10.31
CNB,Hate Speech,Abusive,179,1016,17.62,15.4,20.08
CNB,Hate Speech,Normal,126,1016,12.4,10.52,14.57
CNB,Normal,Abusive,137,1096,12.5,10.67,14.59
CNB,Normal,Hate Speech,157,1096,14.32,12.38,16.52
MNB,Abusive,Hate Speech,35,293,11.95,8.72,16.16
MNB,Abusive,Normal,11,293,3.75,2.11,6.6
MNB,Hate Speech,Abusive,169,1016,16.63,14.47,19.05
MNB,Hate Speech,Normal,108,1016,10.63,8.88,12.68
MNB,Normal,Abusive,121,1096,11.04,9.32,13.03
MNB,Normal,Hate Speech,153,1096,13.96,12.03,16.14
